State [hour=9, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=false] | Action [type=Diagnose]
State [hour=10, patient_status_at_doctor=Cough, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=10, patient_status_at_doctor=Flu, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendHome]
State [hour=10, patient_status_at_doctor=Ebola, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=10, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=true] | Action [type=Diagnose]
State [hour=10, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=false] | Action [type=Diagnose]
State [hour=10, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=1, did_survive=true] | Action [type=Diagnose]
State [hour=10, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=1, did_survive=false] | Action [type=Diagnose]
State [hour=10, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=2, did_survive=true] | Action [type=Diagnose]
State [hour=10, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=2, did_survive=false] | Action [type=Diagnose]
State [hour=11, patient_status_at_doctor=Cough, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=11, patient_status_at_doctor=Cough, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=11, patient_status_at_doctor=Flu, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendHome]
State [hour=11, patient_status_at_doctor=Flu, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=11, patient_status_at_doctor=Ebola, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=11, patient_status_at_doctor=Ebola, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=11, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=true] | Action [type=Diagnose]
State [hour=11, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=false] | Action [type=Diagnose]
State [hour=11, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=1, did_survive=true] | Action [type=Diagnose]
State [hour=11, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=1, did_survive=false] | Action [type=Diagnose]
State [hour=11, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=2, did_survive=true] | Action [type=Diagnose]
State [hour=11, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=2, did_survive=false] | Action [type=Diagnose]
State [hour=12, patient_status_at_doctor=Cough, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=12, patient_status_at_doctor=Cough, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=12, patient_status_at_doctor=Flu, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendHome]
State [hour=12, patient_status_at_doctor=Flu, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=12, patient_status_at_doctor=Ebola, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=12, patient_status_at_doctor=Ebola, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=12, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=true] | Action [type=Diagnose]
State [hour=12, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=false] | Action [type=Diagnose]
State [hour=12, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=1, did_survive=true] | Action [type=Diagnose]
State [hour=12, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=1, did_survive=false] | Action [type=Diagnose]
State [hour=12, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=2, did_survive=true] | Action [type=Diagnose]
State [hour=12, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=2, did_survive=false] | Action [type=Diagnose]
State [hour=13, patient_status_at_doctor=Cough, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=13, patient_status_at_doctor=Cough, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=13, patient_status_at_doctor=Flu, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendHome]
State [hour=13, patient_status_at_doctor=Flu, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=13, patient_status_at_doctor=Ebola, patient_time_left_at_hospital=0, did_survive=false] | Action [type=SendToHospital]
State [hour=13, patient_status_at_doctor=Ebola, patient_time_left_at_hospital=1, did_survive=false] | Action [type=SendHome]
State [hour=13, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=true] | Action [type=Diagnose]
State [hour=13, patient_status_at_doctor=Unknown, patient_time_left_at_hospital=0, did_survive=false] | Action [type=Diagnose]
